Sentiment,Text
negative,@emmalousieharri literally nothing here for like a day back tomoz  I'm not counting it as a holiday. Omg I heard about penny Musa been...
negative,so sick  watching bridget jones diary 2 - i love chubby renee!!! she's so pretty on this movie
negative,@leahmichelle that's not sick.... 
negative,@samjmoody my  friend  broke  a  special edtion  cd  today and  i cant  get it anywhere now  xx
negative,"TIRED, but I have to pack. Ughh "
negative,Just depressed 
negative,"Que claro ! On the way to school, with an allergic reaction "
negative,"uh oh, just noticed something that change my plans for tomorrow radically, gotta email my boss... "
negative,@mollyblock Do you have U-verse? Trying to get it set up? I've had a great experience with AT&amp;T U-verse. Sorry you had a hard time! 
negative,cleaning is no fun 
negative,Finally cut 5 inches off of my hair!!! No more waist length hair!  Looking fwd to music fest tomorrow night! And fishing tourn/parties Sat
negative,@ninjanikkii but i dont have money for the bus and no one will drive me there 
negative,I have a headache already 
negative,its always a desert outside 
negative,Sorry Not obvious how to direct tweets with multiple accounts in #tweetdeck 0.26.1 
negative,@jamesjefferies It'll never be like that again  Lets hope this years race is as eventful as last years tho!
negative,"super sick, I feel like I got hit by a truck. I'm really cold too and I just wanna sleep but I can't "
negative,"So pissed @autotask ... just took about 15 minutes to detail my task and the dam application logged me out, losing my edits "
negative,getting ready positive work in rooms 
negative,Just got a blue screen of death 
negative,my poor doggy is blind and has walked into walls at least a bazillion times today 
negative,Song of the day Ven Tu.. 
negative,#inaperfectworld i would not be a luke warm christian which i learned at bible study last night  *forgive me father*
negative,#dreamhost &quot;Error establishing a database connection&quot; ---&gt;  
negative,Still at work...because I am obsessive... 
negative,@chrisDevaney  You changed your background  Harssshhh
negative,"I have a feeling that NYC is bad for RPattz health, sanity and well-being "
negative,"HAHA! Boone just referenced Star Trek &amp; the red shirts! Which is ironic, cause he's holding a red shirt, plus the obvious "
negative,Home...by myself...for the rest of the day... 
negative,"@LOLCarrie  Dana and yahoo sport run a scandal on Cro Cop ,trying to force him in UFC or he get killed by the media  lame"
negative,Guh..i just stood up&amp;fell over..like dizziness 
negative,"my pictures not working, tweets! i need help  x"
negative,last day of school 2moz  sooooo upsetting and then some weird man exmaining my mouth! what an exciting day!
negative,@itsmarababy NOOOOO not australia. bah! 
negative,@tromboneforhire  would you like a fry? =D
negative,"@twistedrico awww.. I would have taken you some breakfast! Sadly,I almost never check my twitter "
negative,OMG ... I actually wanted to go to bed some positive5 mins ago and look what time it is now  15 mins to midnight! Praise the eye circles! 
negative,"Meh I'm so sleepy and I have to clean my Whole up stairs when I get home,this blows "
negative,@coldmilk Sounds like your next in line for a red ring 
negative,@AlexAllTimeLow You should know how amazing I truly think you are. But I want to tell you in person. 
negative,misses him already 
negative,Is sad to see his girlfriend go on Saturday 
negative,Is in love with a certain pair of shoes... but those shoes cost $75 
negative,how did I sleep for 1positive hours??!?!?!? jeeze I had stuff to do 
negative,Is in mourning over the tragic loss of a dear friend...Chilli's Bar &amp; Restaurant RIP  Gutted
negative,cannot wait for Tont and Malorie to come back home ..   miss u guys
negative,REORG: With the merger of these organizations there will need to be efficiencies identified and obtained in support of the consolidations 
negative,@Saaamm Yeahhh.  My depth perception isn't great either. Hah.
negative,@DJMagic I left that one at stephs for you 
negative,@rollingcherry unfair.  now i'm sad and going to cry myself to sleep.
negative,@philcampbell still a lot though.. it's still like Â£15-20K for a full solar switch for a house.. and it'll take 20-30years to get it back 
negative,"@AlexanderMcNeil Not yet, need to get them now. Didn't manage to get them for the ICA gig "
negative,My stomach hurts so bad 
negative,"@twheresweevil I'm sorry  Well, it's just too big I guess..."
negative,"@danielreardon lol  ok ok, occassionally i do slip on my lycra hot pants. is that more pleasing? NO HEADBAND lol. i draw the line at that"
negative,"My massage w/ @armorymassage was wonderful! Now shopping @ the mall for wedding clothes. By myself.  oh, look, @DunkinDonuts..."
negative,We got kicked out of the press area 
negative,i miss having nerd friends that lived close that would go to the wizard's world convention with me  
negative,@ninjanikkii all used to pay for my atl ticket 
negative,My HDTV crapped out on me  I am totally bored!  Won't be fixed until Wed of next week!  My PSN rentals are gonna expire!!  Dammit!
negative,The McDonalds drivethrough kid REALLY wants to be hardcore. How unfortunate. 
negative,"Krod Mandoon wasn't funny at all. I mean, not at ALL. Not even a tenny bit. Shame, there was at least one genius bit last week "
negative,Just finished several hours in excel. Edit  requests will come 
negative,@sampan22 I know something: You go to Crete and buy me tix for nkotb.. lol... never mind.. I can't go in Oct... 
negative,I really need to get new shoes for work...my feet hurt 
negative,@wwsiv ahhh no way! its only 80 here what what. I miss you guys 
negative,@Riteshdaddy Do I give you great things? 
negative,@Amourada the hate one? i was like  but then i lol'd
negative,@dmalizia maybe they don't like you! 
negative,@JimNorton Come to the Hard Rock in Tampa!! We get shit for comedians over here besides Louis CK once a year 
negative,"@lejonprime Diabeetus is different than real diabetes... He gave them to me, too. "
negative,@shitshockhorror I was gonna try and get tkts.  First time in over 20 years I'd have been home to watch it.  No point without Rafa 
negative,@justinthesouth &amp; @sambrackett - this is crazy in south Asheville! positive0 minutes so far to go maybe a total of 3 miles.. 
negative,"last exam today, and the only one im worried about "
negative,@LilPinkKirst oh kirst I want to! Really really. I'm afraid I'd be a wreck though. Things here are completely terrible 
negative,All coursework due tomorrow! Loads of late night annotating is neeed 
negative,finished carpe corpus. now i only have to wait 5 more months for the next one to come out. 
negative,Why do I always mess things up??????? Its true that you don't realise what you have until its gone 
negative,hmmm twitter is realy borin  mehhhh
negative,@kellyplus1 i really like those cars! when we have a kid( just jad a m/c ) hes gunna get a tahoe  gunna try in aug gain  &lt;/3
negative,@beverleycuddy - GASP! I WANT IT!!! and ugh at dogs as gifts 
negative,@annacruzz i'm a bit jealous at the moment. justin long is like my secret love. 
negative,@paigedansinger@studioloraine@misshq ladies!miss you! let's hang out soon! (via @jackiebateman)Me too. Too much crying to leave my house. 
negative,"@VasiVallis Bastardo..  Make partying with me a project, so you'll be working too!"
negative,My girlfriend has burnt her leg with boiling water rather badly so we've had an evening of frozen peas and bandages. Poor little thing! 
negative,cant do acrobatics like she used to ... 3 months ago 
negative,"Just has this Eee PC sat here all night trying to connect to our Wifi. Yep, it's not working. "
negative,I wish I had a car so I could drive to Columbia to see my baby tonight 
negative,Going home... back tonight 
negative,@WonderVeekay HELP IDK WHAT CDS SUB TO CHOOOSE  don't think I can wake up at 10 since I'm slping now heh.
negative,@ScarletStSyr probably not. that color was discontinued due to not selling well compared to our current colors 
negative,"Dave so after a lot of planning, I tried NOT to get into NH at 10:30pm, sigh, that's what time I am now getting in "
negative,Getting my tonsils taken out tomorrow! 
negative,@davidyall ricotta and mozzarella cheese with sausage. I dont know why I got it because I dont eat sausage 
negative,"playing risk, how can I take over austrailia? "
negative,@vicariousills bring all three? mine is stuck on microsoft hard drive 
negative,Going to class til 8.ughh 
negative,cant wait to stay in the lowry for jb in november. is so far away 
negative,@cinderellahhhh OMG I HATE YOU  im seeing him sundayyy. does he come out afterwards to meet people then? :}
negative,"@ShannonRaeP OMG, I am so sorry  Ya...I like the Tahoes, but would rather get a Denali ha. I can't deal with cloth interior, freaks me out"
negative,@Eggface no!  I have no idea what was going on. Sorry u aren't feeling well.  
negative,my cat is outside 
negative,"@211me I have to say that I have enjoyed our banter, it will be sad when it all has to end. "
negative,RIP 50&quot; Sony 1080p HDTV 
negative,@kmcLewis when I fix my camera. Idk why its not working 
negative,@joshhalliday so no Peston pics for me tonight  Does this mean I owe you a pint?
negative,is it bad that im on redbull #2 :/ so tired 
negative,Fack! 6-5 cubs 
negative,@ThatRetailChick No I'm not. I'm actually shooting a video this weekend. I wasn't asked to be apart of the Indie Music Fest. 
negative,@ayutenshi Sorry to hear that. 
negative,phone battery dying. but I still need mia and lily in my life 
negative,"my eye really hurts, i cant see out of it very well "
negative,Feel sick again 
negative,"I agree with @krinbop, R.I.P JWC "
negative,@gocarmengo never! me too! Long time no see 
negative,YAY THA RAIN IS GONE!!! BUT SO IS THA SUN 
negative,@iphone_dev can't get your hackmii URL to load 
negative,In sad news its begining to look like Farah may have to be put to sleep 
negative,I just saw a sexy asian chick driving only her car was not drifting. 
negative,Stuck at work late trying to tie up loose ends in prep for my day off tomorrow.  Won't be home until after 9PM at this point 
negative,Feeling much better...was hoping it was morning sickness...but I don't think I am preggo. 
negative,@petshopboys i wish i was there 
negative,@mmitchelldaviss I can't watch that!  school. :|
negative,@dressjunkie i agree! can't believe she swims naked in the pool every morning though  brrr!!!
negative,#inaperfectworld there will be no sadness &amp; desperation 
negative,i never learn 
negative,@philhawley I thought mine was hayfever actually but tonight i have a sore throat and ear ache so am thinkin its a cold 
negative,"@NolaGee ...movie night tonight?   ... btw, i wont be able to go to Transformers    I have work."
negative,Why is it so hot.....diz sucks! 
negative,@JackAllTimeLow I CANT SEE IT! WHY CANT I SEE IT? IM SAD 
negative,too late 
negative,watchin big brother ''/ i feeel sorry for that pretty irish girl  shes being harrased !...... CARNT WAIT FOR TOMORROW(:
negative,@Michael_Moore a key comman to mine or other stuff? well some stuff i can do but im standing by a vein and cant own it! 
negative,Stuck at the hair salon   The price for &quot;beauty&quot;.
negative,V. sorry to everyone I've just unfollowed =(. But its just impossible to keep track of my fave tweeters when I'm following 150+. Sorry! 
negative,Oh dang I just broke my wallet. 
negative,5positive minutes ramberling on the phone to Mr Newland has sooo woke me up  boohoo i wanted an early night and its soo not gonna happen !
negative,@wandatastic The walking was terrible. There were bugs. 
negative,@januaryseraph   Stop staying up so late.  Please?
negative,"Watching greys anatomy and yay izzy and alex are getting hitched...she's gonna die though, you just know it! "
negative,@positive8151Emily623positive2 at the 1 u just mentioned I was  JUST WAIT TILL THE WEDDING SPEECH! I'll b uncontrollable!!!
negative,Getting ready for work  but then im gonna party hardy with my friend Jesse 
negative,Went out without a jacket on the bike tonight - got competely soaked -am still frozen on the inside 
negative,"@jrflores66 besides if U don't keep the chain emails going, &quot;God doesn't love U&quot;. "
negative,"@bluecrucial I'm jealous because it didn't work for me!  Oh well safe trip baby, I'll see you at the station."
negative,@reverieBR I know how you feel.  
negative,"Going to have an early night, sore throat and the like "
negative,No amount of free food &amp; drink will make up for the inevitable jetlag on its way as i've not slept a wink &amp; it's only 3pm here 
negative,http://twitpic.com/7qtfl - Had a lil accident wit my scooter yesterday. lol. The result was huge scratches on both me and my scooter 
negative,I'm sad my phone is all scratched up  poor bby. I'm oing to get a new one on my bday from the phone insurance. I think they give refur ...
negative,@Grubbyfoot only in the morning i'm afraid  work in the afternoon
negative,I'm off to watch my son's soccer in the rain... I really don't want to go!! 
negative,My little girls aren't so little anymore  My baby boy amazes me with each passing day. I'm so blessed.
negative,@chaz81 clip art from customink.com. They said anything with clipart or something you did not create yourself then you will have to be DQ 
negative,@MsSexay the second is my last day and I can't fucking wait. Too bad i'll be broke again by the time I get to enjoy summer 
negative,my lip piercings have been killing me lately  I'm not sure whyy. fml&lt;/3
negative,class but I wanna be with great grandma 
negative,@hgreilly thankyou for reminding me 
negative,Is proper tired and has tried for an hour to get to sleep  x
negative,"   SOX!     Floyd was great, but relievers need a scolding!"
negative,studying math for the general knowledge test 
negative,"@Snyper11 Mmmm......cookie! I neede the tea to relax, we played ultimate frisbie tonight it was crazy &amp; I broke my shoe "
negative,@moodleman  must be nice to take advantage of those new features. AT&amp;T isn't letting go of the bandwidth.  No tethering or mms here! 
negative,"Getting ready to go to work... i wish it were August right now, i want to be in Hawaii soooooooooo bad! "
negative,@kissoffools i still haven't fucking found one  i'm going to check again tomorrow
negative,One of the weird things I miss about Windows is the &quot;scandisk&quot; and &quot;defreag&quot; programs. Linux doesn't need them. 
negative,tooth is fucked up. 
negative,is saddened bc i have absolutely NO followers! 
negative,My baby is mad at me 
negative,@dreamhampton I LOVE Negril. I've been plotting to go back since my inital trip back in 0positive'... Damn I'm broke  lol
negative,I am cooling off from the 92 degree heat!!! 
negative,I went to wamu with my bro and left my purse and now I wanna go shoppin'! 
negative,"Please, let me run into someone who will save me from this embarassment. "
negative,i seriously just got attached to the cute doggy. were givin him to the pound 
negative,@v21 oh no!  maybe we can all go out one eve? Are you just going back to London the next day then?
negative,it hurts  i really dont know what to do. i just thought i was stronger than this 
negative,today is gunna be a looooooong ass day 
negative,#inaperfectworld the big mac would be on the dollar menu 
negative,"Palm's Open Source website went live today; but, their WebCore patches are incomplete (missing new files... they need to add -N to diff). "
negative,Boo. I got a yen to watch Space 1999. I thought Hulu would have it.  nopers
negative,@noiecyrus no  can't only if u make a new one 
negative,God i hate all this rain wish it was sunny out here  
negative,"Hrm, calling Ubuntu's DVD playback 'dodgy' is an understatement. Sucks "
negative,@HollyBelle13 I can feel their halo! I just can't believe spence never called us back 
negative,Trackball fell out of my Blackberry  Anyone know where I can get it fixed????
negative,"The new iPhone 3G S review by NYT David Pogue http://tinyurl.com/lfugny (Btw-the video didn't work  can you fix that please, NYT?)"
negative,Had soo much fun doing asian pageant but suuuper tired but gotta go to graduation supasadface 
negative,"I really try to get 8 hrs of sleep in every night, but it's so hard to go to bed when most my twitbuddies are 6-9 hrs behind... "
negative,@xxeffiee oh 
negative,@AdamChandler disrespect is the lowest of the low and delving into other peoples lives is just plain sad man sad 
negative,Trying to get over this Hangover!!! 
negative,But I dig the cool breezy nights ;) (NO tradeoff positive sun tho!) @spellingwitch2: Gawker: The Year Still Without A Summer  http://bit.ly/WKrsH
negative,"@JD_2020 Nice. I have it already. Just to bad COD had given so few keys. Make millions and PC users get it for free, but not Xbox users "
negative,@IconShe  i havent crossed yet 
negative,alana never came over   have dance then 2 hours of gym....
negative,No luck again #squarespace 
negative,Gahhhhhhd. Its so hot in riverside 
negative,Now living hereis going to suck for the next few months. 
negative,@s_b_g know the feeling. only got less than half the stuff in so far though 
negative,@faderhead WOW! that sucks big time! o.O feel so sorry for you 
negative,I really fee like an old guitar.. they just played me.. (with me).. and leaved me.. 
negative,@Mr_Marty Naa it doesn't 
negative,@wendymaria yeah....she was due for a nap she got up early so it helped...time to go study  or do m house work...blah....
negative,Hoping that this suprise for Sara and Toria will actually work now  xxx
negative,Once again registering for classes- one of the ones I registered in has been canceled. 
negative,"@dorizinn I didn't know about it until today, actually, and apparently the #SoFlaTweetup is in 10 minutes. Don't think I'll be making it. "
negative,I am craving sushi.     It's #sushiday!
negative,"omg, I have to wake up positive:00 in the morning just to go to Pennsylvania  I don't wanna go..."
negative,"@catherine0 aww, now you won't know its me calling anymore! "
negative,@SmallC I got a crockpot for my bday..... still have not used it! 
negative,sad roadkill on Crow Canyon today: a little fox 
negative,"@electrolite82 Would of liked a Hollywood ending where Nessy &amp; his bird bring up mini nessy's, but... Oh well.... "
negative,@AmeliaCAye well now I wish I lived in Paris. 
negative,@promotingyou @CristalBubblin lol  It was a joke but Twitter was slow with the execution of my joke. 
negative,"really hopes it doesn't thunderstorm again today...especially since we lost 3 good mares yesterday.  (hit by lightning, one in foal, too)"
negative,Laying here talking with nuria. I need a nap. 
negative,Wish I could write articles on my blackberry  Anyone got a cheap laptop for sale?
negative,@__mares__ hey to you been here and there but not green lol why walking to work? 
negative,@neciek im in section 2e on the side row 12... i just bought em today  atleast im not all the way in the back.. im on neals side btw
negative,We still have friday left  this week never ended! Ugh
negative,@seansmithsucks hey! Just got the new album ... fucking amazing!! One of the best albums in my collection! Wish you would come to Spain  x
negative,i dont think i really like twitter...... 
negative,"Just found out the family dog, maggie, probably has cancer. Poor girl "
negative,and now he hates me and refuses to speak to me 
negative,if i drove id b sittn n traffic...on the bus im sitn nxt 2 a wet ass lady and her wet ass dog and screamin ass kid...i can't win  WTFUCK?!
negative,My Macbook just hit the ground  Just met an awesome couple though while discovering the amazingness of Panera Bread
negative,wow his tweets make me wanna cry 
negative,"Shit. The gas nozzle slipped and sprayed gas all over my pants, shoes, and ground "
negative,@Success_Rice Can't DM without a follow back 
negative,@NovesFinest111positive I want someee 
negative,Still at work. 
negative,Ahh in so much pain from getting my wisdom teeth out  cuddling with my dogs
negative,@awesomeful what happened? 
negative,@MG62 In a badd mood  How are youu?... x
negative,George Strait tickets wouldn't be so gosh darn expensive! 
negative,Jon &amp; Kate - they're going to file for divorce?  NOOO!   ILOVE Jon &amp; Kate Plus 8!! 
negative,aying with lincoln logs now. Oh sweet the power is back on now. Time to do school 
negative,i smell rain !!! it rains in the night only 
negative,My car is ghetto now 
negative,@WesAtHome Sorry Wes.  Bad copy and paste job.  
negative,Home from work...resting and aloe-ing myself up...I am friggen burnt 
negative, she's gone.
negative,From 9.00am till 1.35pm i have science with a 15 minute break tomorrow  woo 
negative,@Dylandoe: Thats a nice thing to say about ur country...  
negative,Would really appreciate a sit down meal and does not want to go back on the redbull and cashew diet - with the occasional ham sandwich 
negative,"Sh*t I need a hug now. Dam, could my day get any worse. I thought when the sun comes after the storm, the day's suppose to get better. "
negative,@realjohngreen She's having a bad day due to a bad haircut. 
negative,"Flights delayed out of NY. Rerouted flights to get home. In a center seat  oh well, at least I'm going home..."
negative,Lunchin' at home sitting in front of a fan. Its so freakin hot outside. 
negative,"@ajsancho, wasting gas and hurting our ozone layer! "
negative,@palumkin yike  stay safe.
negative,@UkCatsFan96 That sucks 
negative,"i dont think i can go a whole week without sudocrem, but theres really no room in my case for it "
negative,"@tromboneforhire Should have used Zune Pass.  (But, yeah, the record companies are crazy.)"
negative,@JCuabs mx200positive is a sad sad story 
negative,is choking like a bastard 
negative,@shanedawson NO THEN YOU'LL BECOME ALL MAINSTREAM LIKE IDK... CHRIS CROCKER  then you'll become a diva + it'll suck 
negative,going to the removal romorrow then funeral on sat. rip grandad 
negative,im sick and i leave tomorrow 
negative,lol ok now aa3 will let you play but it dont save your damn stuff when you do it lol ... suckz cuz i quall'd sharpshooter too 
negative,uhh ohh. i dont have a ride to work...  guess ill have to call a taxi...
negative,"Braces are really hurting, did i have to have fucked up teeth man "
negative,@TheFirstSight  .. hey.. Caroo  .. whats up?
negative,I'm cold. Could do with a cuddle 
negative,Well not done much today. Got work early tomorrow. I started saving for a trip to Disneyland Orlando with the g/f. Only got Â£3k to go lol 
negative,Man work soon and i feel sick to my stomach 
negative,CANT GET ANY SOCIALS CONCEPTS INTO MY HEAD 
negative,So everyone got their RWA National agent appointment times emailed to them last night.... EXCEPT ME 
negative,19 Minutes then im walking to school with Brogan.  Another crappy sick feeling day 
negative,@neesha0positive29 Did u read the rest? I REALLY think it was him and now I feel bad... 
negative,At Drop ACID talk #osb09.  Not about ACID. 
negative,i thought it was going to rain! but it never did... 
negative,"Woah, Eyeshield 21 is ending? I've only read the first 3 volumes (so only 3positive left to go... XD), but it still feels like a Big Thing. "
negative,Is stuck waiting for a ferry... Fog on the Baltic sea 
negative, fantastic..it's probably cause of the messaging last night/morning..
negative,i have my Microeconomics final now 
negative,doesnt get twitter? and cant find my friends 
negative,holding my puppy. he is shaking because of the storm 
negative,dilated pupil... i can't see well 
negative,"had a lovely day today. not phd-productive  but great. met up with folk i haven't seen in ages, and spent evening painting wellies"
negative,@Kimli that sucks 
negative,@christina650  in charity's arms Christina.
negative,"ok, going to look at the apartment that we will probably take, then have to go to some WAH WAH emo show in hob  "
negative,"@sublyme I haaaate that  I won't know if any of mine cancel until mid aug (yup, once everything else is full). Fingers crossed!"
negative,Rip gary the apple snail  killed by a murderer :@ stupid claude fish slapz him
negative,@No_Sssophie omg I just heard  are you ok pet? Sorry to hear 
negative,@BrumGPA maybe it was limited edition then 
negative,"@InThisCity, If I didn't already have plans I might have took you up on that! Sorry  See if Iain fancies going? :p"
negative,"@AlpanaWeaver - I'm trying to bring her out and tempt her to eat with warm baths and nice-smelling food, but no joy so far "
negative,@mousyblack oh cuz it was black nail polish and i paint my nail black when im sad   im trying 2 cheer up abt me quitting but *sigh*
negative,@xxkonstantine mines just dark 
negative,Wow just got home early to an empty house 
negative,No more stairs ... 
negative,"I'm so cold, my head hurts...should I go to my double header tonight? All I want to do is sleep. Can someone drive me home? I'm sooo sick "
negative,Becoming frustrated at the lack of support after signing up to sell these bikes. Email responses were only a few minutes later now hours 
negative,I'm too comfortable to go and get food... Plus it's too late to eat 
negative,o no... my iPod is frozen... omg what shud i do???!!! I CANT LIVE WITHOUT MY MUSIC!!!   X(
negative,"Am annoyed I have to work tmoz, when I can be at big bro with the lovley Davina!! "
negative,@iAlexaaa aww i hope you feel better soon. 
negative,"Gossip Girl is so predictable and i am so lonely,i need a someone to be with  "
negative,@youresovainilla 
negative,@TreeYourWorld shame! and you're so close to launching  oh well the munney grubbers come out when they see a good thing like the 'your'
negative,@MsMelissaMathew  R.I.P. for the Iranian Election Whistle Blower 
negative,@DJ_Lace damn it I messed up my tweet..I didn't mean to put u in there! Look at me trynna talk shit and f'd up 
negative,so you think you can dance caught on to surfthechannel streaming the episodes 
negative,@cimota Thanks. So by my simple math this equates to a 50% increase in monthly contract cost if we want to keep up 
negative,i miss my baaaby 
negative,I am getting BSOD on my relatively new Dell desktop. Wonder if it is a memory related issue. Gotta read a bunch of very boring stuff 
negative,@eZactly I've never played chess 
negative,@ruckmaul you missed it g 
negative,"i have a veryy hard bet with a friend i have to have  100,000 followers and she too :S omg i have to win! but i don't think "
negative,"@cbink90 yea!  Good!  Email me whenever about it.  I was disappointed in it last night, not too many good dances! "
negative,@erinfordc Thanks so much Erin!  I miss you too; I think I leave before you get back 
negative,@justinbieber Do we do it as a video response? And is this actually Justin or his manager. Because if it is then  But doesn't matter! ILY!
negative,Really struggling on a logo design... Not like me to be finding it so tricky  I thought it'd be an easy one as well!
negative,@bogvampwhoppit I miss Kent too. Very much 
negative,@BGeniusSports the curve 8330 
negative,day full of meetings today and a course tomorrow - maybe this is why i dont get to chat to anyone anymore 
negative,@cubbie866 The Swedes are even crazier about it than we are. They observe many old traditions. We just drink and drown... 
negative,@OPCinema Pity you're not running it later than 7 p.m. 
negative,LpositiveM3!!!! i have to go to work. 
negative,@HassanaChanelle I wish! I'm in the field for Hennessy  I wanna shoooooop!
negative,work time...its still raining 
negative,Bed Time! Only positive hurs sleep last night  so night x
negative,"Am annoyed I have to work tmoz, when I can be at big bro with the lovely Davina!! "
negative,@nwoolhouseuk  Fail. I can't play TV on iPlayer
negative,@ErinNicole23 What's wrong?! D: Tell me 
negative,Is diggin BBM. Seriously. Misses his Touch Pro kb though 
negative,Byron and I are sitting in the waiting room about to get shots! 
negative,UGH I DONT WANT SCHOOL TO END~ 
negative,i almost had a phone sigh. 
negative,@zayatz i did add you!! i cant believe u said that! 
negative,seems like no one on ebay wants to buy my macbook 
negative,I wannaa do somethinn...im boreddd 
negative,Missing my baby boy  cant wait until i see him wanting to kill an ex text me 507-363-6955
negative,Oh shitttt there's still tickets to see demi lovato. Jdhfjdghsdfjs.  I wanna go!
negative,"@CaitlinMack if had to guess, i'd say that the prolapsed vagina is something that you will never, ever, ever forget.  "
negative,@xodaisy stop bein mad at me 
negative,"Still trying to get onto Tweeter Wall to vote for 1R, its so annoying. Lost valuable voting time "
negative,Working late tonight 
negative,"@addiieee Gahhh!!!!! I just got out of the shower, and i have to go do something for my mamma now. FML!!!! When do you leave again?! "
negative,@mandlebars are you okay  &lt;3
negative,@mskingofqueens. aww sis I'm sorry. I'll pray for you 
negative,one and the same's video rockks â™¥ itmakesmemisssomeone 
negative,@Egypt625  i cant wait to get back to ATL
negative,@NiroWho oh no!  my sister the news lady will not be thrilled
negative,With @allysa_aquino and Davey. Kevvy baby where are you!?!?! 
negative,"So tired tonight, and my back hurts "
negative,@lalohovis Haha! You always know what to say to make me cheer up.  i don't know how to fix it though...
negative,Its over 87 degrees in my house 
negative,@smalfoyblack I started a novel length fic a couple of years ago (wow already??) but didn't finish 
negative,Can already feel the distancing between me and Ducky  Idk. Maybe it's for the best.
negative,Gettin ready for some dinner at Mai Tai! Saying goodbye to some awesome friends on their way to Japan 
negative,@saxy15 awww I'm sorry  I hope things get better for you. ((Hugs))
negative,@gokuls my aunt's husband died of a heart attack on Tuesday. 
negative,#inaperfectworld i would have my old twitter account bac... @steve298 
negative,@scoobybaby09 my phone's not slow. 
negative,happy not 
negative,@h2osarah How rubbish. 
negative,@eilidhlive Awww...hope you're alrighty 
negative,"I'm up for playing some PokÃ©mon Yellow, only the non-backlit screen would make play very hard. "
negative,"@DJSchnitzel  I'm back to the land of noslurpee  I had so many Crush bubblegum ones while I was home! And yes, def. meet up next time!"
negative,need to find a solution fast... feeling down.. off to read... maybe i'll write later 
negative,@TraceCyrus Glad to hear it Trace.l Hope you manage to sleep soon. I have rain smashing against my window so no sleep for me either  xx
negative,i didnt realise how awesome steel panther are haha i wish they had of been on a different time at download 
negative,@crashpixie Did you see the preview too 
negative,Okay the heat is too much. Can I go home now? 
negative,"@frontporchlife hahah, okay  lol i posted itt."
negative,@Denyalle Oh no!!! That sucks! No new shoes 
negative,"Havenâ€™t had soda in a little over a month, but it tastes funny and now my tummy hurts. Some rewardâ€¦ "
